 ;#;';1;0;3;2;5;4;7;6;9;8;A;@;C;B;E;D;G;F;I;H;K;J;M;L;O;N;Q;P;S;R;U;T;W;V;Y;X;Z;a;c;b;e;d;g;f;i;h;k;j;m;l;o;n;q;p;s;r;u;t;w;v;y;x;z;
0.0151515152;0.0151515152;0.0151515152;0.0151515152;0.0151515152;0.0151515152;0.0151515152;0.0151515152;0.0151515152;0.0151515152;0.0151515152;0.0151515152;0.0151515152;0.0151515152;0.0151515152;0.0151515152;0.0151515152;0.0151515152;0.0151515152;0.0151515152;0.0151515152;0.0151515152;0.0151515152;0.0151515152;0.0151515152;0.0151515152;0.0151515152;0.0151515152;0.0151515152;0.0151515152;0.0151515152;0.0151515152;0.0151515152;0.0151515152;0.0151515152;0.0151515152;0.0151515152;0.0151515152;0.0151515152;0.0151515152;0.0151515152;0.0151515152;0.0151515152;0.0151515152;0.0151515152;0.0151515152;0.0151515152;0.0151515152;0.0151515152;0.0151515152;0.0151515152;0.0151515152;0.0151515152;0.0151515152;0.0151515152;0.0151515152;0.0151515152;0.0151515152;0.0151515152;0.0151515152;0.0151515152;0.0151515152;0.0151515152;0.0151515152;0.0151515152;0.0151515152;
0.0040160643;0.0020080321;0.0020080321;0.0080321285;0.0020080321;0.0020080321;0.0100401606;0.0020080321;0.0100401606;0.0040160643;0.0020080321;0.0020080321;0.0020080321;0.0562248996;0.0020080321;0.0522088353;0.0341365462;0.0301204819;0.0220883534;0.0441767068;0.0441767068;0.0341365462;0.0301204819;0.0100401606;0.0120481928;0.0502008032;0.0341365462;0.0461847390;0.0883534137;0.0020080321;0.0301204819;0.0963855422;0.0180722892;0.0140562249;0.0341365462;0.0582329317;0.0120481928;0.0120481928;0.0020080321;0.0020080321;0.0080321285;0.0040160643;0.0020080321;0.0020080321;0.0020080321;0.0020080321;0.0020080321;0.0020080321;0.0020080321;0.0020080321;0.0020080321;0.0020080321;0.0020080321;0.0040160643;0.0040160643;0.0020080321;0.0040160643;0.0120481928;0.0020080321;0.0020080321;0.0020080321;0.0020080321;0.0020080321;0.0020080321;0.0020080321;0.0020080321;
0.1513888889;0.0013888889;0.0027777778;0.0013888889;0.0013888889;0.0013888889;0.0013888889;0.0013888889;0.0013888889;0.0013888889;0.0013888889;0.0013888889;0.0013888889;0.0055555556;0.0013888889;0.0027777778;0.0041666667;0.0041666667;0.0027777778;0.0027777778;0.0013888889;0.0041666667;0.0013888889;0.0013888889;0.0013888889;0.0041666667;0.0013888889;0.0027777778;0.0027777778;0.0013888889;0.0055555556;0.0069444444;0.0097222222;0.0013888889;0.0125000000;0.0055555556;0.0013888889;0.0013888889;0.0013888889;0.0013888889;0.0083333333;0.0027777778;0.0013888889;0.0041666667;0.0111111111;0.0027777778;0.0027777778;0.0041666667;0.0041666667;0.0013888889;0.0013888889;0.0055555556;0.0180555556;0.0013888889;0.0013888889;0.0013888889;0.0041666667;0.5875000000;0.0152777778;0.0013888889;0.0375000000;0.0013888889;0.0138888889;0.0013888889;0.0013888889;0.0013888889;
0.0868725869;0.0019305019;0.0019305019;0.0830115830;0.1409266409;0.0694980695;0.0772200772;0.0888030888;0.0521235521;0.0463320463;0.0559845560;0.0888030888;0.0463320463;0.0019305019;0.0019305019;0.0019305019;0.0038610039;0.0038610039;0.0019305019;0.0019305019;0.0019305019;0.0019305019;0.0019305019;0.0019305019;0.0019305019;0.0019305019;0.0038610039;0.0019305019;0.0019305019;0.0019305019;0.0019305019;0.0019305019;0.0019305019;0.0019305019;0.0019305019;0.0019305019;0.0019305019;0.0019305019;0.0019305019;0.0019305019;0.0154440154;0.0019305019;0.0019305019;0.0038610039;0.0019305019;0.0019305019;0.0019305019;0.0019305019;0.0019305019;0.0019305019;0.0019305019;0.0019305019;0.0019305019;0.0019305019;0.0019305019;0.0019305019;0.0115830116;0.0115830116;0.0038610039;0.0019305019;0.0057915058;0.0019305019;0.0019305019;0.0135135135;0.0019305019;0.0019305019;
0.2500000000;0.0014124294;0.0028248588;0.0607344633;0.3516949153;0.0141242938;0.0225988701;0.0141242938;0.0112994350;0.0098870056;0.0098870056;0.0042372881;0.0070621469;0.0014124294;0.0014124294;0.0028248588;0.0014124294;0.0014124294;0.0014124294;0.0014124294;0.0042372881;0.0014124294;0.0014124294;0.0042372881;0.0028248588;0.0042372881;0.0014124294;0.0014124294;0.0014124294;0.0014124294;0.0014124294;0.0014124294;0.0014124294;0.0014124294;0.0014124294;0.0014124294;0.0014124294;0.0028248588;0.0014124294;0.0014124294;0.0338983051;0.0014124294;0.0014124294;0.0014124294;0.0056497175;0.0014124294;0.0070621469;0.0042372881;0.0042372881;0.0028248588;0.0014124294;0.0084745763;0.0084745763;0.0014124294;0.0028248588;0.0014124294;0.0310734463;0.0211864407;0.0014124294;0.0014124294;0.0254237288;0.0014124294;0.0014124294;0.0084745763;0.0084745763;0.0014124294;
0.1042345277;0.0032573290;0.0032573290;0.0358306189;0.1921824104;0.0488599349;0.0423452769;0.0651465798;0.0716612378;0.0521172638;0.0423452769;0.0358306189;0.0195439739;0.0032573290;0.0032573290;0.0032573290;0.0032573290;0.0032573290;0.0065146580;0.0032573290;0.0032573290;0.0032573290;0.0032573290;0.0065146580;0.0032573290;0.0032573290;0.0032573290;0.0032573290;0.0032573290;0.0032573290;0.0032573290;0.0032573290;0.0032573290;0.0032573290;0.0032573290;0.0032573290;0.0032573290;0.0032573290;0.0065146580;0.0032573290;0.0228013029;0.0032573290;0.0032573290;0.0065146580;0.0130293160;0.0032573290;0.0162866450;0.0032573290;0.0065146580;0.0032573290;0.0032573290;0.0032573290;0.0032573290;0.0032573290;0.0032573290;0.0032573290;0.0228013029;0.0032573290;0.0130293160;0.0032573290;0.0097719870;0.0065146580;0.0032573290;0.0162866450;0.0032573290;0.0032573290;
0.0989583333;0.0026041667;0.0026041667;0.0729166667;0.2630208333;0.0520833333;0.0390625000;0.0911458333;0.0390625000;0.0390625000;0.0364583333;0.0234375000;0.0234375000;0.0026041667;0.0026041667;0.0052083333;0.0052083333;0.0026041667;0.0052083333;0.0026041667;0.0078125000;0.0026041667;0.0026041667;0.0026041667;0.0026041667;0.0052083333;0.0026041667;0.0052083333;0.0026041667;0.0026041667;0.0026041667;0.0026041667;0.0026041667;0.0026041667;0.0052083333;0.0026041667;0.0026041667;0.0026041667;0.0026041667;0.0026041667;0.0104166667;0.0026041667;0.0026041667;0.0026041667;0.0078125000;0.0026041667;0.0104166667;0.0026041667;0.0026041667;0.0026041667;0.0026041667;0.0026041667;0.0026041667;0.0026041667;0.0104166667;0.0026041667;0.0156250000;0.0052083333;0.0026041667;0.0026041667;0.0078125000;0.0052083333;0.0026041667;0.0078125000;0.0026041667;0.0026041667;
0.2310030395;0.0030395137;0.0030395137;0.0486322188;0.1276595745;0.0486322188;0.0273556231;0.0547112462;0.0516717325;0.0151975684;0.0182370821;0.0212765957;0.0212765957;0.0030395137;0.0030395137;0.0030395137;0.0030395137;0.0030395137;0.0030395137;0.0030395137;0.0030395137;0.0030395137;0.0030395137;0.0030395137;0.0030395137;0.0030395137;0.0030395137;0.0060790274;0.0030395137;0.0030395137;0.0030395137;0.0030395137;0.0030395137;0.0030395137;0.0030395137;0.0030395137;0.0030395137;0.0030395137;0.0030395137;0.0030395137;0.0729483283;0.0030395137;0.0060790274;0.0030395137;0.0060790274;0.0030395137;0.0060790274;0.0060790274;0.0030395137;0.0030395137;0.0030395137;0.0151975684;0.0030395137;0.0030395137;0.0030395137;0.0030395137;0.0425531915;0.0060790274;0.0030395137;0.0030395137;0.0151975684;0.0030395137;0.0030395137;0.0182370821;0.0030395137;0.0030395137;
0.1517241379;0.0034482759;0.0034482759;0.0379310345;0.1172413793;0.0482758621;0.0413793103;0.1068965517;0.0862068966;0.0379310345;0.0206896552;0.0137931034;0.0275862069;0.0034482759;0.0034482759;0.0068965517;0.0034482759;0.0068965517;0.0034482759;0.0034482759;0.0034482759;0.0034482759;0.0034482759;0.0068965517;0.0034482759;0.0034482759;0.0034482759;0.0034482759;0.0034482759;0.0034482759;0.0034482759;0.0034482759;0.0034482759;0.0034482759;0.0103448276;0.0068965517;0.0034482759;0.0034482759;0.0034482759;0.0034482759;0.0275862069;0.0034482759;0.0034482759;0.0034482759;0.0034482759;0.0034482759;0.0103448276;0.0034482759;0.0068965517;0.0034482759;0.0068965517;0.0034482759;0.0068965517;0.0034482759;0.0034482759;0.0034482759;0.0275862069;0.0034482759;0.0034482759;0.0034482759;0.0310344828;0.0034482759;0.0034482759;0.0103448276;0.0034482759;0.0034482759;
0.1682242991;0.0046728972;0.0046728972;0.0794392523;0.0747663551;0.0654205607;0.0420560748;0.0514018692;0.0373831776;0.0280373832;0.0140186916;0.0280373832;0.0186915888;0.0046728972;0.0093457944;0.0046728972;0.0046728972;0.0093457944;0.0046728972;0.0093457944;0.0046728972;0.0046728972;0.0046728972;0.0046728972;0.0046728972;0.0046728972;0.0046728972;0.0046728972;0.0046728972;0.0046728972;0.0046728972;0.0093457944;0.0046728972;0.0046728972;0.0046728972;0.0046728972;0.0046728972;0.0046728972;0.0046728972;0.0046728972;0.0514018692;0.0046728972;0.0046728972;0.0093457944;0.0046728972;0.0046728972;0.0093457944;0.0046728972;0.0046728972;0.0046728972;0.0046728972;0.0140186916;0.0093457944;0.0046728972;0.0046728972;0.0046728972;0.0233644860;0.0140186916;0.0046728972;0.0046728972;0.0140186916;0.0046728972;0.0046728972;0.0140186916;0.0046728972;0.0046728972;
