 ;#;';1;0;3;2;5;4;7;6;9;8;A;@;C;B;E;D;G;F;I;H;K;J;M;L;O;N;Q;P;S;R;U;T;W;V;Y;X;Z;a;c;b;e;d;g;f;i;h;k;j;m;l;o;n;q;p;s;r;u;t;w;v;y;x;z;
0.015151515152;0.015151515152;0.015151515152;0.015151515152;0.015151515152;0.015151515152;0.015151515152;0.015151515152;0.015151515152;0.015151515152;0.015151515152;0.015151515152;0.015151515152;0.015151515152;0.015151515152;0.015151515152;0.015151515152;0.015151515152;0.015151515152;0.015151515152;0.015151515152;0.015151515152;0.015151515152;0.015151515152;0.015151515152;0.015151515152;0.015151515152;0.015151515152;0.015151515152;0.015151515152;0.015151515152;0.015151515152;0.015151515152;0.015151515152;0.015151515152;0.015151515152;0.015151515152;0.015151515152;0.015151515152;0.015151515152;0.015151515152;0.015151515152;0.015151515152;0.015151515152;0.015151515152;0.015151515152;0.015151515152;0.015151515152;0.015151515152;0.015151515152;0.015151515152;0.015151515152;0.015151515152;0.015151515152;0.015151515152;0.015151515152;0.015151515152;0.015151515152;0.015151515152;0.015151515152;0.015151515152;0.015151515152;0.015151515152;0.015151515152;0.015151515152;0.015151515152;
0.004338394794;0.002169197397;0.002169197397;0.008676789588;0.002169197397;0.002169197397;0.006507592191;0.002169197397;0.010845986985;0.004338394794;0.002169197397;0.002169197397;0.002169197397;0.052060737527;0.002169197397;0.049891540130;0.034707158351;0.032537960954;0.023861171367;0.043383947939;0.045553145336;0.034707158351;0.028199566161;0.008676789588;0.013015184382;0.047722342733;0.036876355748;0.045553145336;0.086767895879;0.002169197397;0.032537960954;0.101952277657;0.015184381779;0.015184381779;0.028199566161;0.052060737527;0.015184381779;0.013015184382;0.002169197397;0.002169197397;0.006507592191;0.002169197397;0.004338394794;0.004338394794;0.002169197397;0.002169197397;0.002169197397;0.002169197397;0.002169197397;0.002169197397;0.002169197397;0.002169197397;0.004338394794;0.004338394794;0.004338394794;0.002169197397;0.004338394794;0.010845986985;0.002169197397;0.002169197397;0.002169197397;0.002169197397;0.002169197397;0.002169197397;0.002169197397;0.002169197397;
0.141732283465;0.001574803150;0.003149606299;0.001574803150;0.001574803150;0.001574803150;0.001574803150;0.001574803150;0.001574803150;0.001574803150;0.003149606299;0.001574803150;0.001574803150;0.004724409449;0.001574803150;0.001574803150;0.004724409449;0.003149606299;0.003149606299;0.003149606299;0.001574803150;0.003149606299;0.001574803150;0.001574803150;0.001574803150;0.004724409449;0.003149606299;0.003149606299;0.003149606299;0.001574803150;0.006299212598;0.006299212598;0.009448818898;0.001574803150;0.009448818898;0.004724409449;0.001574803150;0.001574803150;0.001574803150;0.001574803150;0.007874015748;0.003149606299;0.001574803150;0.006299212598;0.011023622047;0.003149606299;0.003149606299;0.004724409449;0.006299212598;0.001574803150;0.001574803150;0.004724409449;0.018897637795;0.001574803150;0.001574803150;0.001574803150;0.004724409449;0.577952755906;0.017322834646;0.001574803150;0.042519685039;0.001574803150;0.015748031496;0.001574803150;0.001574803150;0.001574803150;
0.079840319361;0.001996007984;0.001996007984;0.087824351297;0.125748502994;0.067864271457;0.081836327345;0.091816367265;0.055888223553;0.049900199601;0.057884231537;0.085828343313;0.047904191617;0.001996007984;0.001996007984;0.001996007984;0.001996007984;0.003992015968;0.001996007984;0.001996007984;0.001996007984;0.001996007984;0.001996007984;0.001996007984;0.001996007984;0.001996007984;0.003992015968;0.001996007984;0.001996007984;0.001996007984;0.001996007984;0.001996007984;0.001996007984;0.001996007984;0.003992015968;0.001996007984;0.001996007984;0.001996007984;0.001996007984;0.001996007984;0.015968063872;0.001996007984;0.001996007984;0.003992015968;0.001996007984;0.001996007984;0.001996007984;0.001996007984;0.001996007984;0.001996007984;0.001996007984;0.001996007984;0.001996007984;0.001996007984;0.001996007984;0.001996007984;0.011976047904;0.011976047904;0.001996007984;0.001996007984;0.005988023952;0.001996007984;0.001996007984;0.013972055888;0.001996007984;0.001996007984;
0.250750750751;0.001501501502;0.001501501502;0.060060060060;0.346846846847;0.016516516517;0.022522522523;0.015015015015;0.012012012012;0.010510510511;0.012012012012;0.006006006006;0.006006006006;0.001501501502;0.001501501502;0.001501501502;0.001501501502;0.001501501502;0.001501501502;0.001501501502;0.004504504505;0.001501501502;0.001501501502;0.003003003003;0.003003003003;0.001501501502;0.001501501502;0.001501501502;0.003003003003;0.001501501502;0.001501501502;0.001501501502;0.001501501502;0.001501501502;0.001501501502;0.001501501502;0.001501501502;0.003003003003;0.001501501502;0.001501501502;0.036036036036;0.001501501502;0.001501501502;0.001501501502;0.006006006006;0.001501501502;0.007507507508;0.003003003003;0.004504504505;0.003003003003;0.001501501502;0.007507507508;0.009009009009;0.001501501502;0.003003003003;0.001501501502;0.033033033033;0.019519519520;0.001501501502;0.001501501502;0.022522522523;0.001501501502;0.001501501502;0.007507507508;0.009009009009;0.001501501502;
0.103448275862;0.003448275862;0.003448275862;0.037931034483;0.186206896552;0.044827586207;0.034482758621;0.062068965517;0.072413793103;0.055172413793;0.041379310345;0.037931034483;0.020689655172;0.003448275862;0.003448275862;0.003448275862;0.003448275862;0.003448275862;0.006896551724;0.003448275862;0.003448275862;0.003448275862;0.003448275862;0.006896551724;0.003448275862;0.003448275862;0.003448275862;0.003448275862;0.003448275862;0.003448275862;0.003448275862;0.003448275862;0.003448275862;0.003448275862;0.006896551724;0.003448275862;0.003448275862;0.003448275862;0.006896551724;0.003448275862;0.024137931034;0.003448275862;0.003448275862;0.003448275862;0.013793103448;0.003448275862;0.013793103448;0.003448275862;0.006896551724;0.003448275862;0.003448275862;0.003448275862;0.003448275862;0.003448275862;0.003448275862;0.003448275862;0.027586206897;0.003448275862;0.013793103448;0.003448275862;0.010344827586;0.006896551724;0.003448275862;0.013793103448;0.003448275862;0.003448275862;
0.104395604396;0.002747252747;0.002747252747;0.068681318681;0.258241758242;0.052197802198;0.035714285714;0.096153846154;0.032967032967;0.043956043956;0.038461538462;0.024725274725;0.021978021978;0.002747252747;0.002747252747;0.005494505495;0.005494505495;0.002747252747;0.002747252747;0.002747252747;0.005494505495;0.002747252747;0.002747252747;0.002747252747;0.002747252747;0.005494505495;0.002747252747;0.005494505495;0.002747252747;0.002747252747;0.002747252747;0.002747252747;0.002747252747;0.002747252747;0.005494505495;0.002747252747;0.002747252747;0.002747252747;0.002747252747;0.002747252747;0.010989010989;0.002747252747;0.002747252747;0.002747252747;0.008241758242;0.002747252747;0.008241758242;0.002747252747;0.002747252747;0.002747252747;0.002747252747;0.002747252747;0.002747252747;0.002747252747;0.010989010989;0.002747252747;0.016483516484;0.005494505495;0.002747252747;0.002747252747;0.008241758242;0.005494505495;0.002747252747;0.005494505495;0.002747252747;0.002747252747;
0.223270440252;0.003144654088;0.003144654088;0.050314465409;0.128930817610;0.044025157233;0.028301886792;0.056603773585;0.047169811321;0.015723270440;0.018867924528;0.025157232704;0.022012578616;0.003144654088;0.003144654088;0.003144654088;0.003144654088;0.003144654088;0.003144654088;0.003144654088;0.003144654088;0.003144654088;0.003144654088;0.003144654088;0.003144654088;0.003144654088;0.003144654088;0.006289308176;0.003144654088;0.003144654088;0.003144654088;0.003144654088;0.003144654088;0.003144654088;0.003144654088;0.003144654088;0.003144654088;0.003144654088;0.006289308176;0.003144654088;0.075471698113;0.003144654088;0.006289308176;0.003144654088;0.006289308176;0.003144654088;0.006289308176;0.006289308176;0.003144654088;0.003144654088;0.003144654088;0.012578616352;0.003144654088;0.003144654088;0.003144654088;0.003144654088;0.044025157233;0.006289308176;0.003144654088;0.003144654088;0.015723270440;0.003144654088;0.003144654088;0.012578616352;0.003144654088;0.003144654088;
0.142348754448;0.003558718861;0.003558718861;0.035587188612;0.120996441281;0.042704626335;0.042704626335;0.103202846975;0.088967971530;0.035587188612;0.021352313167;0.017793594306;0.024911032028;0.003558718861;0.003558718861;0.007117437722;0.003558718861;0.007117437722;0.003558718861;0.003558718861;0.003558718861;0.003558718861;0.003558718861;0.007117437722;0.003558718861;0.003558718861;0.003558718861;0.003558718861;0.003558718861;0.003558718861;0.003558718861;0.003558718861;0.003558718861;0.003558718861;0.010676156584;0.003558718861;0.003558718861;0.003558718861;0.003558718861;0.003558718861;0.028469750890;0.003558718861;0.003558718861;0.003558718861;0.003558718861;0.003558718861;0.010676156584;0.003558718861;0.007117437722;0.003558718861;0.007117437722;0.007117437722;0.007117437722;0.003558718861;0.003558718861;0.003558718861;0.032028469751;0.003558718861;0.003558718861;0.003558718861;0.032028469751;0.003558718861;0.003558718861;0.010676156584;0.003558718861;0.003558718861;
0.166666666667;0.004761904762;0.004761904762;0.076190476190;0.071428571429;0.066666666667;0.042857142857;0.047619047619;0.038095238095;0.028571428571;0.014285714286;0.023809523810;0.019047619048;0.004761904762;0.009523809524;0.004761904762;0.004761904762;0.009523809524;0.004761904762;0.009523809524;0.004761904762;0.004761904762;0.004761904762;0.004761904762;0.004761904762;0.004761904762;0.004761904762;0.004761904762;0.004761904762;0.004761904762;0.004761904762;0.009523809524;0.004761904762;0.004761904762;0.004761904762;0.004761904762;0.004761904762;0.004761904762;0.004761904762;0.004761904762;0.047619047619;0.004761904762;0.004761904762;0.009523809524;0.004761904762;0.004761904762;0.009523809524;0.004761904762;0.004761904762;0.004761904762;0.004761904762;0.014285714286;0.009523809524;0.004761904762;0.004761904762;0.004761904762;0.023809523810;0.014285714286;0.004761904762;0.004761904762;0.019047619048;0.004761904762;0.004761904762;0.019047619048;0.004761904762;0.004761904762;
